"pid","id","notes","cat","employer","name","pos","salary","status","currency","oec","country","date","createdAt","flightDate"
"PENDING","DEP-2026-05-16-001","Reassigned to Thailand","OFW","Bangkok Hotel Group","Aaron Belerecia Padayos","Household Service Worker","SAR 1200","Deployed","SAR","complete","Thailand","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-002","Reassigned to Vietnam","OFW","Ho Chi Minh Development Corp","Abegael Balute","Caregiver","MYR 1500","Deployed","MYR","complete","Vietnam","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-003","Reassigned to Philippines","OFW","Manila Tech Solutions","Abegail Canuel","Construction Worker","QAR 1800","Deployed","QAR","complete","Philippines","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-004","Reassigned to Hong Kong","OFW","Hong Kong Manufacturing Ltd","Abigail Llambo Palamario","Nurse","AED 2200","Deployed","AED","complete","Hong Kong","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-005","Reassigned to Bahrain","OFW","Bahrain Oil Services","Ada Malaga Gordo","Sales Assistant","SAR 1200","Deployed","SGD","complete","Bahrain","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-006","Reassigned to Oman","OFW","Muscat Tourism Board","Adzma Marwan Madain","Kitchen Helper","MYR 1500","Deployed","SAR","complete","Oman","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-007","Reassigned to Kuwait","OFW","Kuwait Finance Hub","Agaton Quidor Vidallo Jr","Factory Worker","QAR 1800","Deployed","MYR","complete","Kuwait","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-008","Deployed via Blueorion International","OFW","KL Hospitality Group","Agnes Somo","Admin Support","AED 2200","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-009","Deployed via Blueorion International","OFW","Qatari Construction","Aida Asil Mohammad","Household Service Worker","SAR 1200","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-010","Deployed via Blueorion International","OFW","Emirates Care Services","Aiel Mae De Mesa Villamayor","Caregiver","MYR 1500","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-011","Deployed via Blueorion International","OFW","Singapore Staffing","Aileen Agpalo","Construction Worker","QAR 1800","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-012","Deployed via Blueorion International","OFW","Jeddah Healthcare","Aileen Yusop","Nurse","AED 2200","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-013","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Aillen Agpalo","Sales Assistant","SAR 1200","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-014","Deployed via Blueorion International","OFW","KL Hospitality Group","Ailyn Beloy Banga","Kitchen Helper","MYR 1500","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-015","Deployed via Blueorion International","OFW","Qatari Construction","Ailyn Qurimit Bertulfo","Factory Worker","QAR 1800","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-016","Deployed via Blueorion International","OFW","Emirates Care Services","Aimalyn Maning","Admin Support","AED 2200","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-017","Deployed via Blueorion International","OFW","Singapore Staffing","Airene Lazo Denado","Household Service Worker","SAR 1200","Deployed","MYR","complete","Malaysia","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-018","Deployed via Blueorion International","OFW","Jeddah Healthcare","Aisah Bandara Mambuay","Caregiver","MYR 1500","Deployed","QAR","complete","Qatar","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-019","Deployed via Blueorion International","OFW","Al-Nakheel Household Co.","Albert Higonia","Construction Worker","QAR 1800","Deployed","AED","complete","Dubai","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-020","Deployed via Blueorion International","OFW","KL Hospitality Group","Alex Castillo Ramirez","Nurse","AED 2200","Deployed","SGD","complete","Singapore","2026-05-16","2026-05-16","2026-05-16"
"PENDING","DEP-2026-05-16-021","Deployed via Blueorion International","OFW","Qatari Construction","Alexander Baguil Uga","Sales Assistant","SAR 1200","Deployed","SAR","complete","Saudi Arabia","2026-05-16","2026-05-16","2026-05-16"
